sector,pfas_sites
n/a,8
Airports,3305
Airports (Part 139),531
Cement Mfg,388
Chemical Mfg,10414
Cleaning Product Mfg,2122
Consumer Products,478
Electronics Industry,7814
Fire Training,446
Furniture and Carpet,460
Glass Products,754
Industrial Gas,1078
Metal Coating,10901
Metal Machinery Mfg,5243
Mining and Refining,6468
National Defense,1934
Oil and Gas,36123
Paints and Coatings,2980
Paper Mills and Products,2353
Petroleum,2950
Plastics and Resins,8197
Printing,4961
Textiles and Leather,2981
Waste Management,18443